inc_tot_tppd_qcut,quant_benefit_multiplier,inc_tot_tppd_qcut_int,capture_benefit_lower_bound,capture_benefit_upper_bound
"(0.019, 788.147]",0.12648573757380874,0,0.019,788.147
"(788.147, 1107.639]",0.2343614534676355,1,788.147,1107.639
"(1107.639, 1387.154]",0.3207565846755334,2,1107.639,1387.154
"(1387.154, 1600.0]",0.43635597179052554,3,1387.154,1600.0
"(1600.0, 1763.168]",0.48487233086521875,4,1600.0,1763.168
"(1763.168, 1925.91]",0.537850389,5,1763.168,1925.91
"(1925.91, 2093.034]",0.5694294323247706,6,1925.91,2093.034
"(2093.034, 2229.946]",0.6462637904155184,7,2093.034,2229.946
"(2229.946, 2364.656]",0.6812444786061935,8,2229.946,2364.656
"(2364.656, 2491.926]",0.6944945468536029,9,2364.656,2491.926
"(2491.926, 2619.648]",0.7348144103162007,10,2491.926,2619.648
"(2619.648, 2750.41]",0.7522066251169688,11,2619.648,2750.41
"(2750.41, 2870.217]",0.8046071063409959,12,2750.41,2870.217
"(2870.217, 2996.721]",0.8085039350228181,13,2870.217,2996.721
"(2996.721, 3123.834]",0.854137789,14,2996.721,3123.834
"(3123.834, 3246.014]",0.8864891013111722,15,3123.834,3246.014
"(3246.014, 3376.778]",0.8922625852531417,16,3246.014,3376.778
"(3376.778, 3494.762]",0.9338635109217003,17,3376.778,3494.762
"(3494.762, 3625.85]",0.9417164137615002,18,3494.762,3625.85
"(3625.85, 3756.548]",0.9625367434031303,19,3625.85,3756.548
"(3756.548, 3894.438]",1.0332664727797396,20,3756.548,3894.438
"(3894.438, 4038.104]",1.0161369822806479,21,3894.438,4038.104
"(4038.104, 4187.409]",1.0478954562098843,22,4038.104,4187.409
"(4187.409, 4328.472]",1.073027688880276,23,4187.409,4328.472
"(4328.472, 4490.47]",1.1272084060541137,24,4328.472,4490.47
"(4490.47, 4621.91]",1.1590143848265817,25,4490.47,4621.91
"(4621.91, 4787.782]",1.1737195038051367,26,4621.91,4787.782
"(4787.782, 4942.58]",1.182876174422731,27,4787.782,4942.58
"(4942.58, 5115.402]",1.221585978090542,28,4942.58,5115.402
"(5115.402, 5291.824]",1.260111370799822,29,5115.402,5291.824
"(5291.824, 5473.874]",1.2498705393374312,30,5291.824,5473.874
"(5473.874, 5668.064]",1.2647922129116398,31,5473.874,5668.064
"(5668.064, 5887.696]",1.3042780869563093,32,5668.064,5887.696
"(5887.696, 6114.119]",1.3473108667438147,33,5887.696,6114.119
"(6114.119, 6335.192]",1.395695536577413,34,6114.119,6335.192
"(6335.192, 6581.08]",1.3976449172071126,35,6335.192,6581.08
"(6581.08, 6879.968]",1.3867894872258764,36,6581.08,6879.968
"(6879.968, 7184.991]",1.4659639603337453,37,6879.968,7184.991
"(7184.991, 7497.908]",1.4852847319479927,38,7184.991,7497.908
"(7497.908, 7844.054]",1.4422339341776613,39,7497.908,7844.054
"(7844.054, 8295.009]",1.5267508181633345,40,7844.054,8295.009
"(8295.009, 8762.716]",1.5619117026452345,41,8295.009,8762.716
"(8762.716, 9313.884]",1.5636677707372828,42,8762.716,9313.884
"(9313.884, 10003.934]",1.6328889408856357,43,9313.884,10003.934
"(10003.934, 10760.768]",1.6575030092110068,44,10003.934,10760.768
"(10760.768, 11814.581]",1.6986631547193967,45,10760.768,11814.581
"(11814.581, 13225.494]",1.7821173472006884,46,11814.581,13225.494
"(13225.494, 15409.059]",1.7927866835540809,47,13225.494,15409.059
"(15409.059, 19501.686]",1.8323945175067948,48,15409.059,19501.686
"(19501.686, 98080.85]",2.646875059423027,49,19501.686,98080.85
